target,iteration,particle_id,hidden_units,alpha,learning_rate_init,fitness
Initial Setting Time (IST),6,3,20,0.013523700593482587,0.0040566475470834576,22.308521432274688
Initial Setting Time (IST),6,4,18,0.030497406539078523,0.0037511464752291034,22.118782942296118
Initial Setting Time (IST),6,5,14,0.049414792589313285,0.0070370592852671675,22.20521914823469
Final Setting Time (FST),0,0,20,0.0020731719263694525,0.019404250827669656,48.135713654021565
Final Setting Time (FST),0,1,19,0.00019166024706981723,0.029069229955640496,50.24755538006969
Final Setting Time (FST),0,2,20,0.02281355236625612,0.0015565764265126965,70.72476257694409
Final Setting Time (FST),0,3,14,0.0012953707094821836,0.024555426586822138,50.444142736850026
Final Setting Time (FST),0,4,18,0.029395769940595316,0.004625101822337392,44.00502006609377
Final Setting Time (FST),0,5,10,0.0046105672499844215,0.0012465964452993302,97.01622061870545
Final Setting Time (FST),1,0,19,0.01375318688950332,0.01191040356535212,49.479651896560476
Final Setting Time (FST),1,1,18,0.005197459180602602,0.002926359967808422,44.734348319405
Final Setting Time (FST),1,2,17,0.02569073223328262,0.00606174159260042,45.23969513512565
Final Setting Time (FST),1,3,18,0.007951729676808962,0.011928321759098534,46.37988770347531
Final Setting Time (FST),1,4,18,0.029395769940595316,0.004625101822337392,44.00502006609377
Final Setting Time (FST),1,5,10,0.04105928007992026,0.004608614982169494,44.7557809046039
Final Setting Time (FST),2,0,17,0.006093339688819717,0.01144807525878243,49.03627820211267
Final Setting Time (FST),2,1,17,0.08074910475153738,0.001162629613297121,90.0706726310527
Final Setting Time (FST),2,2,16,0.03232388234608032,0.010466274825287496,45.556149538453205
Final Setting Time (FST),2,3,20,0.1,0.006100773976206475,44.763631594368924
Final Setting Time (FST),2,4,18,0.029395769940595316,0.004625101822337392,44.00502006609377
Final Setting Time (FST),2,5,15,0.1,0.010126112240190705,45.09065784007481
Final Setting Time (FST),3,0,17,0.010208864592927493,0.008564121446009754,45.625637685682584
Final Setting Time (FST),3,1,17,0.07616100393611465,0.005308069782954128,44.55859169175659
Final Setting Time (FST),3,2,17,0.03186170765774184,0.005206984265506793,44.63696397557645
Final Setting Time (FST),3,3,19,0.1,0.003144159904867859,42.98827934023641
Final Setting Time (FST),3,4,18,0.029395769940595316,0.004625101822337392,44.00502006609377
Final Setting Time (FST),3,5,14,0.1,0.006588474144329332,43.80994069051749
Final Setting Time (FST),4,0,18,0.03469916563906197,0.004371350468237367,43.67988494845947
Final Setting Time (FST),4,1,18,0.08797372125877735,0.012979586342076873,46.59673332877184
Final Setting Time (FST),4,2,19,0.1,0.0030801633091302964,43.21834751306651
Final Setting Time (FST),4,3,18,0.1,0.002112401362973162,57.943327882787116
Final Setting Time (FST),4,4,18,0.0986784587279842,0.0030362440053209217,44.590700435907586
Final Setting Time (FST),4,5,19,0.1,0.0018422364869866638,60.49366913973923
Final Setting Time (FST),5,0,20,0.1,0.0022594035310422506,52.905143183704425
Final Setting Time (FST),5,1,19,0.09298714717758876,0.0018379211738923061,60.16744742205256
Final Setting Time (FST),5,2,21,0.1,0.0023002257705573787,46.83675316436694
Final Setting Time (FST),5,3,18,0.1,0.0033581091249542086,42.88576008012311
Final Setting Time (FST),5,4,18,0.1,0.00312929848103068,43.36488180374941
Final Setting Time (FST),5,5,15,0.1,0.0072327262747550886,44.47557974794472
Final Setting Time (FST),6,0,20,0.1,0.005697760156977977,44.81302821605314
Final Setting Time (FST),6,1,16,0.08550774272907065,0.0011123227833164248,88.76783848471972
Final Setting Time (FST),6,2,19,0.1,0.002406394700893076,47.40533343808221
Final Setting Time (FST),6,3,19,0.1,0.004434920349048413,44.45272524846511
Final Setting Time (FST),6,4,18,0.1,0.003234184815830222,42.62292293689677
Final Setting Time (FST),6,5,14,0.1,0.007461998652452388,44.14168974195734
