target,model,R2,MSE,RMSE,MAE
Initial Setting Time (IST),RandomForest,0.41832085114806583,540.0173868776526,23.23827418027536,16.631570348754554
Initial Setting Time (IST),GradientBoosting,0.32628089323312326,625.465142155895,25.009301112903877,16.331676862961377
Initial Setting Time (IST),PSO_ANN,0.34463319393882264,608.4272932148676,24.666319004157625,15.76487317630695
Initial Setting Time (IST),HybridStack,0.43963795485010715,520.2270838219271,22.8084871006809,15.784036493180855
Final Setting Time (FST),RandomForest,0.48570685508466993,2790.0445850699175,52.820872626925784,27.50144541910331
Final Setting Time (FST),GradientBoosting,0.32354761475761606,3669.759811427899,60.578542500029656,30.16672171826975
Final Setting Time (FST),PSO_ANN,0.5495926238906839,2443.463758390626,49.431404576348285,26.534699585697982
Final Setting Time (FST),HybridStack,0.6490437242936389,1903.9407122411565,43.63416909076139,29.036807303886604
